Hand,RAISE 25,FOLD,RAISE 25 EV,FOLD EV
Ad6d,100,0,101.515956,0.0000048
Ad7d,100,0,111.454372,0.0000048
Ad8d,100,0,138.963785,0.0000048
Ad9d,100,0,148.155994,0.0000048
AdTd,100,0,198.318415,0.0000048
AdJd,100,0,228.885117,0.0000048
AdQd,100,0,286.34161,0.0000048
AdKd,100,0,377.553444,0.0000048
Ad2h,100,0,30.6112719,0
Ad3h,100,0,34.7717214,0
Ad4h,100,0,43.3472258,0
Ad5h,100,0,43.297739,0
Ad6h,100,0,44.4116098,0
Ad7h,100,0,52.6742464,0
Ad8h,100,0,61.0257816,0
Ad9h,100,0,88.6548138,0
AdTh,100,0,121.189671,0
AdJh,100,0,150.950537,0
AdQh,100,0,211.046829,0
AdKh,100,0,292.33448,0
Ad2s,100,0,30.6112719,0
Ad3s,100,0,34.7717214,0
Ad4s,100,0,43.3472258,0
Ad5s,100,0,43.297739,0
Ad6s,100,0,44.4116098,0
Ad7s,100,0,52.6742464,0
Ad8s,100,0,61.0257816,0
Ad9s,100,0,88.6548138,0
AdTs,100,0,121.189671,0
AdJs,100,0,150.950537,0
AdQs,100,0,211.046829,0
AdKs,100,0,292.33448,0
2h2c,100,0,94.2143059,0
2h2d,100,0,94.2143059,0
3h2c,0,100,-17.8090668,0
3h3c,100,0,112.506981,0
3h2d,0,100,-17.8090668,0
3h3d,100,0,112.506981,0
3h2h,99.999994,0.00000596,3.4709883,0.0000048
3h2s,0,100,-17.8090668,0
4h2c,0,100,-10.8360195,0
4h3c,3.77680808,96.2231934,-0.095706,0
4h4c,100,0,116.691814,0
4h2d,0,100,-10.8360195,0
4h3d,3.77680808,96.2231934,-0.095706,0
4h4d,100,0,116.691814,0
4h2h,99.999994,0.00000596,10.3489828,0.0000048
4h3h,100,0,31.5053093,0.0000048
4h2s,0,100,-10.8360195,0
4h3s,3.77680808,96.2231934,-0.095706,0
5h2c,0,100,-9.584837,0
5h3c,0,100,-3.8917017,0
5h4c,99.999994,0.00000596,6.4130449,0
5h5c,100,0,140.479145,0
5h2d,0,100,-9.584837,0
5h3d,0,100,-3.8917017,0
5h4d,99.999994,0.00000596,6.4130449,0
5h5d,100,0,140.479145,0
5h2h,100,0,11.244514,0.0000048
5h3h,100,0,39.4167256,0.0000048
5h4h,100,0,62.169795,0.0000048
5h2s,0,100,-9.584837,0
5h3s,0,100,-3.8917017,0
5h4s,99.999994,0.00000596,6.4130449,0
6h2c,0,100,-16.4447641,0
6h3c,0,100,-7.7772093,0
6h4c,78.395015,21.604985,0.0302935,0
6h5c,100,0,5.2257156,0
6h6c,100,0,177.576189,0
6h2d,0,100,-16.4447641,0
6h3d,0,100,-7.7772093,0
6h4d,78.395015,21.604985,0.0302935,0
6h5d,100,0,5.2257156,0
6h6d,100,0,177.576189,0
6h2h,99.999994,0.00000596,9.8524475,0.0000048
6h3h,100,0,15.3222775,0.0000048
6h4h,100,0,29.2826939,0.0000048
6h5h,100,0,50.727926,0.0000048
6h2s,0,100,-16.4447641,0
6h3s,0,100,-7.7772093,0
6h4s,78.395015,21.604985,0.0302935,0
6h5s,100,0,5.2257156,0
7h2c,0,100,-21.4783955,0
7h3c,0,100,-9.1960192,0
7h4c,99.1724968,0.8275032,0.2228022,0
7h5c,100,0,5.596981,0
7h6c,100,0,15.6919479,0
7h7c,100,0,190.673513,0
7h2d,0,100,-21.4783955,0
7h3d,0,100,-9.1960192,0
7h4d,99.1724968,0.8275032,0.2228022,0
7h5d,100,0,5.596981,0
7h6d,100,0,15.6919479,0
7h7d,100,0,190.673513,0
7h2h,100,0,3.408041,0.0000048
7h3h,100,0,9.9354267,0.0000048
7h4h,100,0,30.1366365,0.0000048
7h5h,100,0,38.2743394,0.0000048
7h6h,100,0,64.6696675,0.0000048
7h2s,0,100,-21.4783955,0
7h3s,0,100,-9.1960192,0
7h4s,99.1724968,0.8275032,0.2228022,0
7h5s,100,0,5.596981,0
7h6s,100,0,15.6919479,0
